REC-START | 2025-10-27 12:44:18.879

INIT-VARS | POS:[-3.159839E-07,0.7190169,-12.99999] | ROT:[0.001421338,3.751424E-06,2.753349E-07] | VEL:[-1.57569E-08,-6.854191E-07,-3.715726E-08] | AVL:[-9.708136E-08,-2.493339E-12,4.175613E-08]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00366]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00372]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00394]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00409]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00418]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00433]
CURR-VARS | DUR:[23]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00443]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00455]
CURR-VARS | DUR:[26]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00473]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00485]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00497]
CURR-VARS | DUR:[24]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00519]
CURR-VARS | DUR:[17]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00546]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00565]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00595]
CURR-VARS | DUR:[16]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00626]
CURR-VARS | DUR:[25]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00641]
CURR-VARS | DUR:[15]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00681]
CURR-VARS | DUR:[26]ms | ACC:[0.99998] | BRK:[0.00000] | STR:[-0.00714]
CURR-VARS | DUR:[15]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00754]
CURR-VARS | DUR:[16]ms | ACC:[0.00000] | BRK:[0.00000] | STR:[-0.00772]
